time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/loss,train/value_loss,train/policy_gradient_loss
30,690176,159.32,337,0.670484,22469,0.7291910648345947,3360,-0.42458685277961195,0.2,0.0003,0.537060546875,1.2738515,-0.09193270653486252,0.0021252278609608767,-0.0784020317485556
30,692224,147.56,338,0.6537235600000001,22537,0.3165509104728699,3370,-0.3532267804723233,0.2,0.0003,0.523193359375,1.388761,-0.1112900897860527,0.004152033473656047,-0.08731108314823359
30,694272,142.04,339,0.65305843,22602,0.5067219138145447,3380,-0.4321671683341265,0.2,0.0003,0.55322265625,1.3657755,-0.0729227215051651,0.002728110221869429,-0.08086945168906823
30,696320,134.75,340,0.62916376,22669,0.5779316425323486,3390,-0.4389532527886331,0.2,0.0003,0.551220703125,1.3871305,-0.10512851178646088,0.002487565063529473,-0.08322645523585379
30,698368,123.94,341,0.60612175,22735,0.5407269299030304,3400,-0.4242162634152919,0.2,0.0003,0.54521484375,2.2947838,-0.10644065588712692,0.003151116126173292,-0.08351905802846886
30,700416,125.73,342,0.6101897500000001,22800,0.5072717666625977,3410,-0.43169184140861033,0.2,0.0003,0.56171875,1.4436891,-0.10867920517921448,0.0029129153321264313,-0.09198091221915092
30,702464,132.67,343,0.6301410900000001,22866,0.6972139775753021,3420,-0.48588110152631997,0.2,0.0003,0.581884765625,1.7524672,-0.09754681587219238,0.0020201411742164057,-0.09048774939146824
30,704512,136.58,344,0.6471568699999999,22935,0.7256279289722443,3430,-0.48261361112818124,0.2,0.0003,0.5669921875,1.3264658,-0.12089765071868896,0.0019780948185143645,-0.08772636343201157
30,706560,136.83,345,0.6505700299999999,23002,0.5632002353668213,3440,-0.4093467364553362,0.2,0.0003,0.543505859375,1.7998862,-0.10046222060918808,0.0029230057296445013,-0.08628811980597675
30,708608,137.33,346,0.64902372,23065,0.5952606797218323,3450,-0.4047386955935508,0.2,0.0003,0.542626953125,1.9039255,-0.10551945120096207,0.002678675436982303,-0.08865265034255572
30,710656,146.37,347,0.6751432399999999,23127,0.5930697917938232,3460,-0.40533372992649674,0.2,0.0003,0.5373046875,2.8387022,-0.12172936648130417,0.0024850022500686464,-0.08697963595332112
30,712704,153.72,348,0.69173327,23194,0.7579519748687744,3470,-0.5417977306991816,0.2,0.0003,0.6126953125,1.4694469,-0.11094001680612564,0.0015379667587694713,-0.09077822939725592
30,714752,154.51,349,0.6915569,23261,0.7606936246156693,3480,-0.4633490309119225,0.2,0.0003,0.562060546875,1.6538354,-0.09503389149904251,0.0016544563883144291,-0.0839148624218069
30,716800,157.19,350,0.6981217599999999,23330,0.6612100005149841,3490,-0.5208641705103219,0.2,0.0003,0.60302734375,1.6748527,-0.08887164294719696,0.0020832655529375186,-0.0919540679664351
30,718848,161.86,351,0.6969379000000002,23396,0.692032128572464,3500,-0.5079257683828473,0.2,0.0003,0.598388671875,1.2305089,-0.11076467484235764,0.0015360866562332375,-0.09444737841840833
30,720896,170.53,352,0.69936103,23462,0.8017207235097885,3510,-0.5650212316773832,0.2,0.0003,0.623095703125,1.4024878,-0.10865823924541473,0.00127957052709462,-0.09395346212259029
30,722944,176.8,353,0.6972654100000001,23525,0.7400878667831421,3520,-0.5124909992329776,0.2,0.0003,0.598974609375,1.4292672,-0.11695634573698044,0.0015289813600247726,-0.08607565465499648
30,724992,182.07,354,0.6982809600000002,23586,0.6714281737804413,3530,-0.5261007208377123,0.2,0.0003,0.57646484375,1.2347057,-0.10714396089315414,0.0023232699850268546,-0.08767308771493845
30,727040,180.63,355,0.6675984000000003,23659,0.722641259431839,3540,-0.5639552029781043,0.2,0.0003,0.6134765625,1.7344779,-0.12423822283744812,0.001775302682290203,-0.0948000848380616
30,729088,173.3,356,0.63466652,23716,0.6706152558326721,3550,-0.5089861873537302,0.2,0.0003,0.576806640625,1.8379141,-0.11558052152395248,0.002286425101920031,-0.08883772148692515
30,731136,175.43,357,0.6246154199999999,23783,0.6830001473426819,3560,-0.47769414270296695,0.2,0.0003,0.56201171875,1.3181496,-0.10783421993255615,0.00242991226950835,-0.07200544236111454
30,733184,179.76,358,0.62417958,23852,0.798001229763031,3570,-0.5654105835594236,0.2,0.0003,0.58232421875,1.2811897,-0.10273756086826324,0.0015987321587090265,-0.08583941503311507
30,735232,172.91,359,0.6077341299999999,23921,0.8316590636968613,3580,-0.5898071798495949,0.2,0.0003,0.601611328125,1.2739165,-0.11316177248954773,0.0012540913028715294,-0.08412026042351499
30,737280,156.86,360,0.5942460100000001,23991,0.7766932845115662,3590,-0.44459480214864017,0.2,0.0003,0.53408203125,1.2823186,-0.10923346132040024,0.0019140188456731265,-0.08783813109912444
30,739328,156.37,361,0.62460763,24056,0.6072686612606049,3600,-0.45418221382424234,0.2,0.0003,0.556884765625,1.3707033,-0.1288812756538391,0.0026962432773871116,-0.08683056011213922
30,741376,152.07,362,0.65218073,24119,0.6990587711334229,3610,-0.48002257812768223,0.2,0.0003,0.56640625,1.3267862,-0.11422057449817657,0.002307857131563651,-0.08822277870494873
30,743424,150.09,363,0.6597676199999998,24187,0.6873549818992615,3620,-0.4644118184223771,0.2,0.0003,0.5685546875,1.5983119,-0.118596650660038,0.0019496775486913976,-0.0872871483094059
30,745472,145.78,364,0.6673286799999998,24259,0.520174503326416,3630,-0.4425321323797107,0.2,0.0003,0.549755859375,1.4941313,-0.10444745421409607,0.0033418069222534543,-0.08648071562638507
30,747520,139.9,365,0.6609059699999998,24325,0.6242522299289703,3640,-0.5122315700165927,0.2,0.0003,0.600830078125,1.4876444,-0.1144314631819725,0.0024971147740870947,-0.09435521436680575
30,749568,142.26,366,0.6766060799999998,24387,0.6689467430114746,3650,-0.4632503169588745,0.2,0.0003,0.58623046875,1.3892406,-0.068619005382061,0.002062806752837787,-0.08009446247015148
30,751616,149.89,367,0.68835431,24450,0.6909593343734741,3660,-0.4903976351954043,0.2,0.0003,0.571728515625,1.3250377,-0.08843427896499634,0.0018655165353266057,-0.08601785388891585
30,753664,150.02,368,0.69656841,24515,0.8023148030042648,3670,-0.5044854426756501,0.2,0.0003,0.593505859375,1.4671873,-0.0847489982843399,0.0015567254078632687,-0.0887108844181057
30,755712,149.5,369,0.6837372099999999,24579,0.6138536930084229,3680,-0.4247660762630403,0.2,0.0003,0.55546875,1.553591,-0.09563147276639938,0.0027489984349813312,-0.08670958309376146
30,757760,149.4,370,0.6978024899999998,24640,0.6320998072624207,3690,-0.4253270333632827,0.2,0.0003,0.558544921875,1.4908817,-0.10600557923316956,0.0024060775966063376,-0.08807190092338715
30,759808,148.27,371,0.7123710400000002,24705,0.6912313997745514,3700,-0.41666589099913837,0.2,0.0003,0.53037109375,1.5618608,-0.10428384691476822,0.002548754135023046,-0.08814718348730821
30,761856,144.71,372,0.7220962299999999,24768,0.615356832742691,3710,-0.3940903007052839,0.2,0.0003,0.51416015625,1.4453931,-0.10300703346729279,0.0029058665873890276,-0.0865685342985671
30,763904,142.07,373,0.72233227,24833,0.727631002664566,3720,-0.4172808908857405,0.2,0.0003,0.523291015625,1.42477,-0.12005024403333664,0.002440403993205109,-0.08445057468779851
30,765952,141.36,374,0.7406109199999998,24908,0.7194879651069641,3730,-0.40116985370405017,0.2,0.0003,0.508154296875,1.6233988,-0.11618209630250931,0.002387553951120935,-0.08305322893720586
30,768000,146.17,375,0.7391567600000001,24970,0.8461606800556183,3740,-0.5140736584551633,0.2,0.0003,0.561083984375,1.2350737,-0.12200874835252762,0.0016009189785108902,-0.08920950440806337
30,770048,143.4,376,0.7183507400000001,25029,0.8285403996706009,3750,-0.4884496573358774,0.2,0.0003,0.54970703125,1.5707611,-0.10717915743589401,0.0015072434822286595,-0.08725433199724648
30,772096,137.13,377,0.6662003,25096,0.7413532733917236,3760,-0.5175740749575197,0.2,0.0003,0.578857421875,1.3509157,-0.09192069619894028,0.002455368419578008,-0.08806294430396519
30,774144,143.49,378,0.66733863,25152,0.6546064615249634,3770,-0.49966101804748175,0.2,0.0003,0.563671875,1.2637422,-0.11849132925271988,0.0032890450151171536,-0.08522224739426747
30,776192,142.6,379,0.6227491399999999,25221,0.7117120623588562,3780,-0.5786877225153149,0.2,0.0003,0.60947265625,1.2516825,-0.12557253241539001,0.0020881593402009456,-0.0892429608036764
30,778240,146.5,380,0.60213889,25282,0.6844043135643005,3790,-0.6175478328950703,0.2,0.0003,0.599853515625,1.3178253,-0.08892318606376648,0.0023569507600768704,-0.08148956210934558
30,780288,139.87,381,0.5780484,25348,0.7747850120067596,3800,-0.41359332567080853,0.2,0.0003,0.474462890625,1.1321088,-0.11503363400697708,0.002196224023646209,-0.07996053474489599
30,782336,131.4,382,0.56693485,25415,0.5549449324607849,3810,-0.43671160070225595,0.2,0.0003,0.55322265625,1.5939945,-0.11770027875900269,0.002835925147701346,-0.09090741741238162
30,784384,136.42,383,0.59352697,25477,0.43975377082824707,3820,-0.47594471983611586,0.2,0.0003,0.573095703125,1.4458683,-0.12284951657056808,0.0033839394855021965,-0.08732232394104358
30,786432,145.47,384,0.61081792,25537,0.5785828530788422,3830,-0.4887625591829419,0.2,0.0003,0.5798828125,1.5201758,-0.08618246018886566,0.0023653573380215676,-0.09393500173464417
30,788480,135.6,385,0.5857879899999999,25599,0.7437702715396881,3840,-0.5978982317261398,0.2,0.0003,0.6185546875,2.234863,-0.12093483656644821,0.0020258304410162966,-0.09300868732389063
30,790528,141.25,386,0.6108737200000001,25662,0.6259585618972778,3850,-0.5305866473354399,0.2,0.0003,0.59150390625,1.317366,-0.10099907219409943,0.0027758826698118357,-0.08803313325042836
30,792576,139.84,387,0.61995899,25739,0.624409943819046,3860,-0.5347701461985708,0.2,0.0003,0.582080078125,1.5568944,-0.08952692151069641,0.0024318024557942407,-0.0856795846746536
30,794624,146.92,388,0.61031836,25805,0.6794907748699188,3870,-0.5347052877768874,0.2,0.0003,0.582421875,1.3576603,-0.09899874776601791,0.0026579426368698476,-0.08806567689753138
30,796672,159.25,389,0.60986902,25870,0.721246600151062,3880,-0.5856483517214656,0.2,0.0003,0.57001953125,1.3699288,-0.09967450797557831,0.002145583367200743,-0.08280351343855727
30,798720,167.11,390,0.63362969,25942,0.8337400108575821,3890,-0.7531511953100563,0.2,0.0003,0.649755859375,1.4391837,-0.12441384792327881,0.0013108309762174032,-0.0899463706125971
