time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_range,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/n_updates
93,190464,6265,77.59,30,0.61650539,0.2,-0.008873662911355495,-0.021530137484660372,0.000259251,-0.5105375861749053,0.048041925,0.614861935377121,0.0006357696286916811,0.17610677083333334,276
94,192512,6331,79.67,30,0.62494927,0.2,-0.014624001458287239,-0.021644190516478073,0.000259251,-0.5857457950090369,0.034783836,0.5744908452033997,0.0007591248792474895,0.20524088541666666,279
95,194560,6392,78.27,30,0.6258789,0.2,-0.07240547984838486,-0.022799241395356756,0.000259251,-0.617867600483199,0.045980573,0.4938768744468689,0.0010332796876658297,0.19075520833333334,282
96,196608,6453,81.34,30,0.6376971699999999,0.2,-0.056107599288225174,-0.022675590473227203,0.000259251,-0.594790516110758,0.04384826,0.5646077394485474,0.000742216646055264,0.19873046875,285
97,198656,6519,84.21,30,0.6423615600000001,0.2,-0.06769357621669769,-0.0253288868892317,0.000259251,-0.7045347734043995,0.058395877,0.47287148237228394,0.0009202708079101285,0.22102864583333334,288
98,200704,6582,85.71,30,0.64489439,0.2,-0.04533548653125763,-0.020847317199998845,0.000259251,-0.6007179903487364,0.04497163,0.39825308322906494,0.001014392749008645,0.20979817708333334,291
99,202752,6651,82.42,30,0.6299039900000001,0.2,-0.03742479532957077,-0.020033175135419395,0.000259251,-0.5534632833053669,0.049123913,0.3903982639312744,0.0008082862447433096,0.21354166666666666,294
100,204800,6718,80.11,30,0.6311415200000001,0.2,-0.05939970165491104,-0.020821678908153746,0.000259251,-0.4679811876267195,0.043253053,0.5155199766159058,0.0009473466146422046,0.18636067708333334,297
101,206848,6775,82.16,30,0.6464961799999999,0.2,-0.055560678243637085,-0.023690793333419908,0.000259251,-0.5889435857534409,0.038907643,0.4830312132835388,0.0008810782264845329,0.18766276041666666,300
102,208896,6841,78.34,30,0.6245528400000001,0.2,-0.038651954382658005,-0.021659279164547723,0.000259251,-0.5799335418269038,0.052447435,0.543079137802124,0.0008227227751073466,0.20638020833333334,303
103,210944,6907,83.01,30,0.6532407600000001,0.2,-0.055775225162506104,-0.024654945931009326,0.000259251,-0.5444566830992699,0.045609534,0.3999171257019043,0.0010118531857491082,0.1904296875,306
104,212992,6977,84.67,30,0.6610790599999998,0.2,-0.059591345489025116,-0.025746138640291367,0.000259251,-0.6532659164319435,0.047370676,0.4646669030189514,0.0009568162234548557,0.2099609375,309
105,215040,7048,87.32,30,0.6741297100000001,0.2,-0.059323750436306,-0.023832217576758314,0.000259251,-0.6744990988324086,0.041557524,0.5589587390422821,0.0008254830208898056,0.2119140625,312
106,217088,7116,90.83,30,0.70612121,0.2,-0.06819456070661545,-0.027900168458775926,0.000259251,-0.6677246410399675,0.05563318,0.4423404932022095,0.00093069461217965,0.24186197916666666,315
107,219136,7179,92.09,30,0.72956485,0.2,-0.05085203796625137,-0.022655228851363063,0.000259251,-0.5346821984276175,0.06125097,0.4248918294906616,0.0010368606763222488,0.21110026041666666,318
108,221184,7239,91.89,30,0.7487339,0.2,-0.03374413028359413,-0.02637323718712044,0.000259251,-0.481951916590333,0.064787775,0.348688006401062,0.000935763712429131,0.2021484375,321
109,223232,7300,91.98,30,0.75264447,0.2,-0.048246223479509354,-0.016163425345439464,0.000259251,-0.45217489326993626,0.049772188,0.4957497715950012,0.0011145801460467435,0.1875,324
110,225280,7368,87.88,30,0.7374982899999998,0.2,-0.05250232666730881,-0.019860623132747907,0.000259251,-0.5087065765013298,0.06613182,0.36424458026885986,0.0010114538878648698,0.17985026041666666,327
111,227328,7438,86.67,30,0.73396471,0.2,-0.00411355122923851,-0.013645689294207841,0.000259251,-0.3802857717188696,0.058494925,0.4456745386123657,0.0011166146426451935,0.16520182291666666,330
112,229376,7512,83.43,30,0.7129495699999999,0.2,-0.029672838747501373,-0.025702608885088313,0.000259251,-0.4876222300032775,0.060307812,0.5090290606021881,0.0007721900353014158,0.19401041666666666,333
113,231424,7578,77.85,30,0.68488743,0.2,-0.058642856776714325,-0.02082681644242257,0.000259251,-0.4272906146943569,0.059744462,0.47956985235214233,0.0008188633964891778,0.1865234375,336
114,233472,7637,78.57,30,0.6936349700000001,0.2,-0.037767164409160614,-0.018986052426043898,0.000259251,-0.3955410978135963,0.05651994,0.49556851387023926,0.0008788665697162893,0.17171223958333334,339
115,235520,7696,78.22,30,0.6942893600000001,0.2,-0.06143118813633919,-0.020709193563864876,0.000259251,-0.4109961135933797,0.058969185,0.48360103368759155,0.0009273768206791525,0.16861979166666666,342
116,237568,7761,79.3,30,0.71258971,0.2,-0.03370311111211777,-0.022897862577034783,0.000259251,-0.4006576572234432,0.060277753,0.4621175527572632,0.0009405368421842771,0.166015625,345
117,239616,7818,83.13,30,0.73565387,0.2,-0.06686973571777344,-0.020370625405727576,0.000259251,-0.37868375952045125,0.05495066,0.3315827250480652,0.0009453471811866621,0.16422526041666666,348
118,241664,7884,83.86,30,0.74317231,0.2,-0.023262351751327515,-0.02322615166970839,0.000259251,-0.44498252744476,0.05387854,0.5382510125637054,0.0008496883034846784,0.16097005208333334,351
119,243712,7949,85.01,30,0.7682483200000001,0.2,-0.02578805759549141,-0.018577694563039888,0.000259251,-0.3693879034059743,0.061446764,0.5261132419109344,0.000918162284506252,0.15608723958333334,354
120,245760,8016,85.31,30,0.7598632400000003,0.2,-0.044010601937770844,-0.021874595773018275,0.000259251,-0.461857539601624,0.07489539,0.48036837577819824,0.000910235229942676,0.1884765625,357
121,247808,8081,85.39,30,0.75368518,0.2,-0.0429767370223999,-0.025092129547071334,0.000259251,-0.4021885267769297,0.0739536,0.4913598895072937,0.0009461717509111622,0.16829427083333334,360
122,249856,8158,88.08,30,0.7721889000000003,0.2,-0.06522426754236221,-0.024824746438146878,0.000259251,-0.4860230755681793,0.07667682,0.5321546494960785,0.0008733987985275841,0.20133463541666666,363
123,251904,8217,90.29,30,0.79290433,0.2,-0.04590196534991264,-0.020318372718368966,0.000259251,-0.4462662333001693,0.069324866,0.5712747871875763,0.000895965699479954,0.18522135416666666,366
124,253952,8283,90.91,30,0.7877951800000002,0.2,-0.034903962165117264,-0.018581678790117923,0.000259251,-0.4432420472924908,0.075503305,0.4708338975906372,0.0011076285009039566,0.17805989583333334,369
125,256000,8356,92.86,30,0.7948272799999999,0.2,-0.05982110649347305,-0.020813487605967868,0.000259251,-0.43642997555434704,0.08505672,0.5573333501815796,0.0008988331085978037,0.18619791666666666,372
126,258048,8418,90.67,30,0.7636406400000001,0.2,-0.06977052241563797,-0.021138510637683794,0.000259251,-0.5282935897509257,0.07369283,0.3977046608924866,0.0011373102170182392,0.21207682291666666,375
127,260096,8479,89.88,30,0.7402119099999999,0.2,-0.04086046293377876,-0.024934876438540716,0.000259251,-0.4719510106369853,0.16438386,0.3261454105377197,0.001084758998331381,0.23470052083333334,378
128,262144,8546,87.84,30,0.70198172,0.2,-0.05882856994867325,-0.022361512897380937,0.000259251,-0.47568646104385454,0.075032555,0.38912808895111084,0.0010189098751046306,0.2158203125,381
129,264192,8617,87.01,30,0.6962448400000002,0.2,-0.014891792088747025,-0.015959467506036162,0.000259251,-0.5253975475206971,0.08744248,0.324110746383667,0.001144806548836641,0.21956380208333334,384
130,266240,8700,86.71,30,0.6871475100000001,0.2,-0.062030233442783356,-0.024696199543541297,0.000259251,-0.5235815014069279,0.06582166,0.409864604473114,0.0009367961007834916,0.19498697916666666,387
131,268288,8777,88.07,30,0.6853277099999998,0.2,-0.04681645706295967,-0.024372686282731593,0.000259251,-0.5289598902066549,0.09120309,0.30779922008514404,0.001043239539891753,0.21842447916666666,390
132,270336,8852,90.52,30,0.6947142300000002,0.2,-0.04782238230109215,-0.025201063137501478,0.000259251,-0.6023070896044374,0.05904825,0.48793190717697144,0.0008167800439575027,0.21370442708333334,393
133,272384,8917,91.31,30,0.71007093,0.2,-0.06322002410888672,-0.028024392493534833,0.000259251,-0.5930350121731559,0.0735011,0.3687089681625366,0.001115907480804405,0.23518880208333334,396
