rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/n_updates,train/learning_rate
131.53,507087,0.05,5480,0.6751738099999999,8359,60,8.693744166521356e-05,114271,0.0001
131.82,510446,0.05,5500,0.6796934899999999,8423,60,0.0005610019434243441,115111,0.0001
133.53,513170,0.05,5520,0.6823344800000001,8478,60,8.597620762884617e-05,115792,0.0001
145.93,516763,0.05,5540,0.71275455,8548,60,7.399980677291751e-05,116690,0.0001
153.41,520069,0.05,5560,0.71848947,8620,60,0.00014922945410944521,117517,0.0001
163.39,523426,0.05,5580,0.7469254099999999,8697,60,9.023163875099272e-05,118356,0.0001
157.73,526219,0.05,5600,0.75749109,8754,60,0.0002462234115228057,119054,0.0001
162.99,529469,0.05,5620,0.7702589500000001,8819,60,6.864801252959296e-05,119867,0.0001
158.62,532625,0.05,5640,0.75137808,8877,59,6.114610005170107e-05,120656,0.0001
158.49,535918,0.05,5660,0.7285773600000001,8934,59,9.70515247900039e-05,121479,0.0001
151.83,538609,0.05,5680,0.6905117400000002,8982,59,5.909063111175783e-05,122152,0.0001
154.17,541636,0.05,5700,0.6843283200000002,9037,59,6.729480810463428e-05,122908,0.0001
164.53,545922,0.05,5720,0.6879184,9108,59,0.00021801638649776578,123980,0.0001
165.68,549193,0.05,5740,0.6897568700000001,9165,59,6.118980672908947e-05,124798,0.0001
167.34,552652,0.05,5760,0.71838013,9232,59,8.047803567023948e-05,125662,0.0001
178.38,556447,0.05,5780,0.7568574200000002,9306,59,0.0005686507793143392,126611,0.0001
189.36,560572,0.05,5800,0.76241737,9385,59,0.0006165604572743177,127642,0.0001
182.58,564180,0.05,5820,0.75906182,9464,59,9.53895432758145e-05,128544,0.0001
195.47,568740,0.05,5840,0.78790898,9564,59,9.251277515431866e-05,129684,0.0001
198.21,572473,0.05,5860,0.77522433,9636,59,0.0001357798173557967,130618,0.0001
189.51,575398,0.05,5880,0.7269377899999999,9692,59,3.6979035940021276e-05,131349,0.0001
172.63,577835,0.05,5900,0.65966527,9739,59,7.08194711478427e-05,131958,0.0001
166.44,580824,0.05,5920,0.6274523599999998,9797,59,0.00011267833906458691,132705,0.0001
148.24,583564,0.05,5940,0.58631895,9848,59,0.00010295013635186478,133390,0.0001
140.17,586490,0.05,5960,0.58561131,9902,59,0.00021086139895487577,134122,0.0001
144.64,589862,0.05,5980,0.61299622,9966,59,0.0001563349214848131,134965,0.0001
147.99,592634,0.05,6000,0.6642528299999999,10021,59,0.00010616565123200417,135658,0.0001
146.49,595473,0.05,6020,0.6851938399999998,10077,59,0.00014419878425542265,136368,0.0001
144.02,597966,0.05,6040,0.6598905399999999,10128,59,8.177899871952832e-05,136991,0.0001
145.43,601033,0.05,6060,0.6707012100000002,10188,58,0.0003236441407352686,137758,0.0001
135.5,603412,0.05,6080,0.6615029400000002,10236,58,0.0001651623606448993,138352,0.0001
132.23,605857,0.05,6100,0.62501664,10284,58,0.00012779145617969334,138964,0.0001
123.39,607812,0.05,6120,0.60159132,10321,58,9.11462411750108e-05,139452,0.0001
127.23,610689,0.05,6140,0.6183309699999999,10377,58,0.001385946525260806,140172,0.0001
128.97,613930,0.05,6160,0.60307339,10441,58,0.0018247379921376705,140982,0.0001
123.41,615753,0.05,6180,0.57506776,10480,58,0.00018280545191373676,141438,0.0001
126.84,618541,0.05,6200,0.5807327099999999,10539,58,9.290792513638735e-05,142135,0.0001
138.27,621639,0.05,6220,0.59525472,10606,58,0.0002788372803479433,142909,0.0001
141.38,624827,0.05,6240,0.60434477,10671,58,8.745862578507513e-05,143706,0.0001
147.33,628663,0.05,6260,0.59212414,10752,58,5.924652214162052e-05,144665,0.0001
161.89,631942,0.05,6280,0.6157042699999999,10820,58,0.0002880986430682242,145485,0.0001
