time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,train/loss,train/learning_rate,train/n_updates
16255,42,0.55140581,95.22,685805,9980,0.05,0.00011109082333859988,1.9070714918537712e-05,27970
16303,42,0.52356697,93.45,687822,10000,0.05,0.00011715300570358522,1.9070714918537712e-05,28040
16344,42,0.4881543,92.7,689675,10020,0.05,8.676215966261225e-05,1.9070714918537712e-05,28100
16411,42,0.50583954,106.17,692753,10040,0.05,4.483575849008048e-05,1.9070714918537712e-05,28170
16462,42,0.55011963,107.69,695098,10060,0.05,7.955989822221455e-05,1.9070714918537712e-05,28240
16534,42,0.61433584,125.38,698343,10080,0.05,5.49934907212446e-05,1.9070714918537712e-05,28300
16592,42,0.6746769,131.54,700976,10100,0.05,9.569254743837518e-05,1.9070714918537712e-05,28370
16643,42,0.73072282,135.58,703233,10120,0.05,6.671054234175244e-05,1.9070714918537712e-05,28440
16683,42,0.72453917,123.34,705087,10140,0.05,7.358841066889e-05,1.9070714918537712e-05,28500
16728,42,0.7083394100000001,119.25,707023,10160,0.05,8.258965208369773e-05,1.9070714918537712e-05,28570
16775,42,0.6653576800000001,106.23,708966,10180,0.05,7.51916728404467e-05,1.9070714918537712e-05,28640
16816,42,0.6154069800000002,96.94,710670,10200,0.05,7.444160837621894e-05,1.9070714918537712e-05,28700
16863,42,0.587967,95.37,712770,10220,0.05,9.083680488402024e-05,1.9070714918537712e-05,28770
16904,42,0.5800653800000001,93.62,714449,10240,0.05,6.41717531834729e-05,1.9070714918537712e-05,28840
16949,42,0.5891172,92.8,716303,10260,0.05,8.298056291096145e-05,1.9070714918537712e-05,28900
16979,42,0.5621151000000001,84.8,717446,10280,0.05,8.45638596729259e-05,1.9070714918537712e-05,28970
17025,42,0.54776693,87.38,719408,10300,0.05,0.00010534895154705737,1.9070714918537712e-05,29040
17086,42,0.58266151,92.94,722064,10320,0.05,4.629459872376174e-05,1.9070714918537712e-05,29100
17138,42,0.6094534600000001,98.91,724340,10340,0.05,0.00011096196612925269,1.9070714918537712e-05,29170
17195,42,0.62034734,105.72,726875,10360,0.05,0.00010219819032499799,1.9070714918537712e-05,29240
17254,42,0.66692802,120.25,729471,10380,0.05,5.502101394085912e-05,1.9070714918537712e-05,29300
17297,42,0.70556676,118.49,731257,10400,0.05,8.989274574560114e-05,1.9070714918537712e-05,29370
17340,42,0.6731497100000001,110.18,733082,10420,0.05,0.00010695981181925162,1.9070714918537712e-05,29440
17377,42,0.62411457,103.08,734648,10440,0.05,7.919208073872141e-05,1.9070714918537712e-05,29500
17419,42,0.6211638899999999,96.53,736528,10460,0.05,7.040648561087436e-05,1.9070714918537712e-05,29570
17472,42,0.63194168,93.02,738773,10480,0.05,0.0001231358248332981,1.9070714918537712e-05,29640
17519,42,0.6165331999999999,96.33,740890,10500,0.05,0.00010767849125841167,1.9070714918537712e-05,29700
17572,42,0.6243252200000001,101.66,743248,10520,0.05,5.4431633361673446e-05,1.9070714918537712e-05,29770
17637,42,0.65329126,116.06,746254,10540,0.05,0.00011782029941969086,1.9070714918537712e-05,29840
17684,42,0.6569842300000001,118.2,748348,10560,0.05,0.00012888392702734564,1.9070714918537712e-05,29900
17733,42,0.64212895,115.95,750368,10580,0.05,7.163876634876942e-05,1.9070714918537712e-05,29970
17769,42,0.6316439199999999,111.52,752042,10600,0.05,8.069334144238383e-05,1.9070714918537712e-05,30040
17810,42,0.63483058,105.91,753839,10620,0.05,5.496367757586995e-05,1.9070714918537712e-05,30100
17851,42,0.6041662,92.6,755514,10640,0.05,8.336665759998141e-05,1.9070714918537712e-05,30170
17890,42,0.58411189,87.16,757064,10660,0.05,7.662705411348725e-05,1.9070714918537712e-05,30240
17938,42,0.5754504,87.7,759138,10680,0.05,9.031323188537498e-05,1.9070714918537712e-05,30300
