time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
1974,0.15832769,32.92,170825,5040,86,0.05,1.9070714918537712e-05,2.188184153055772e-05,11340
1995,0.1633192,37.1,171793,5060,86,0.05,1.9070714918537712e-05,3.340962884976761e-05,11410
2014,0.16925180999999997,39.6,172624,5080,85,0.05,1.9070714918537712e-05,2.1534716188398308e-05,11480
2025,0.16315294999999996,36.74,173126,5100,85,0.05,1.9070714918537712e-05,3.352121775606065e-05,11540
2038,0.15318373999999998,35.26,173732,5120,85,0.05,1.9070714918537712e-05,2.4868336413419457e-05,11610
2050,0.15346344999999997,33.95,174220,5140,84,0.05,1.9070714918537712e-05,2.051927267530118e-05,11680
2061,0.15010092,29.2,174713,5160,84,0.05,1.9070714918537712e-05,3.7566221044471605e-05,11740
2077,0.14303744000000002,27.92,175416,5180,84,0.05,1.9070714918537712e-05,2.6111622355529106e-05,11810
2092,0.14886554,29.84,176110,5200,84,0.05,1.9070714918537712e-05,4.161101592217165e-05,11880
2111,0.1628807,37.0,177432,5220,84,0.05,1.9070714918537712e-05,2.7896923984371825e-05,11940
2120,0.16720241999999996,38.24,178044,5240,83,0.05,1.9070714918537712e-05,2.113736818500911e-05,12010
2141,0.18450856000000002,46.34,179347,5260,83,0.05,1.9070714918537712e-05,3.0714574586454545e-05,12080
2149,0.18652099,44.83,179899,5280,83,0.05,1.9070714918537712e-05,3.883977078658063e-05,12140
2162,0.18465806,45.21,180631,5300,83,0.05,1.9070714918537712e-05,3.512636012601433e-05,12210
2194,0.18857185999999998,48.23,182255,5320,83,0.05,1.9070714918537712e-05,2.899588339460024e-05,12280
2204,0.18198594000000004,48.47,182891,5340,82,0.05,1.9070714918537712e-05,3.8491728128065005e-05,12340
2219,0.17638732,45.57,183904,5360,82,0.05,1.9070714918537712e-05,2.237511253042612e-05,12410
2234,0.18376916999999998,47.62,184661,5380,82,0.05,1.9070714918537712e-05,2.6905852473646517e-05,12480
2243,0.18280407999999995,46.52,185283,5400,82,0.05,1.9070714918537712e-05,3.382852178219764e-05,12540
2256,0.18386379000000005,38.82,186137,5420,82,0.05,1.9070714918537712e-05,3.7510365018533776e-05,12610
2273,0.19657365999999998,44.64,187355,5440,82,0.05,1.9070714918537712e-05,4.3816370316562824e-05,12680
2285,0.20964572000000006,43.33,188237,5460,82,0.05,1.9070714918537712e-05,4.104612025912502e-05,12740
2301,0.21430549000000002,46.0,189261,5480,82,0.05,1.9070714918537712e-05,3.149948381633294e-05,12810
2312,0.22501587,47.43,190026,5500,82,0.05,1.9070714918537712e-05,3.092391089012381e-05,12880
2326,0.20805226,48.75,191012,5520,82,0.05,1.9070714918537712e-05,3.916453019883193e-05,12940
2344,0.22392186,48.5,192205,5540,81,0.05,1.9070714918537712e-05,3.594472291297279e-05,13010
2358,0.21131113999999995,48.98,193135,5560,81,0.05,1.9070714918537712e-05,3.761639118238236e-05,13080
2369,0.19677799,46.21,193882,5580,81,0.05,1.9070714918537712e-05,3.9183145236165726e-05,13140
2379,0.18764301,45.36,194562,5600,81,0.05,1.9070714918537712e-05,3.054550438719161e-05,13210
2387,0.19338278999999997,40.99,195111,5620,81,0.05,1.9070714918537712e-05,2.4711293963264325e-05,13280
